order_id,product_id,product_name,category,quantity,unit_price,total_revenue,order_date,ship_date,delivery_date,lead_time_days,supplier_id,supplier_name,country,warehouse_id,inventory_level,reorder_point,status
ORD-00017,P009,Forklift Battery,Energy,271,2181.72,591246.12,2024-07-16,2024-07-21,2024-08-03,13,S002,PacificParts Ltd.,China,WH-South,6932,158,shipped
ORD-00018,P009,Forklift Battery,Energy,225,2249.54,506146.5,2024-11-18,2024-11-24,2025-01-07,44,S002,PacificParts Ltd.,China,WH-East,7397,111,delivered
ORD-00019,P004,Circuit Board,Electronics,302,554.44,167440.88,2024-08-25,2024-08-29,2024-10-06,38,S002,PacificParts Ltd.,China,WH-North,1163,412,delivered
ORD-00020,P001,Industrial Pump,Machinery,122,699.8,85375.6,2023-12-05,2023-12-14,2023-12-21,7,S002,PacificParts Ltd.,China,WH-North,7953,159,returned
ORD-00021,P009,Forklift Battery,Energy,98,240.34,23553.32,2023-09-06,2023-09-13,2023-10-16,33,S002,PacificParts Ltd.,China,WH-Central,7062,231,shipped
ORD-00022,P007,Aluminium Rod,Metal Parts,32,1009.54,32305.28,2023-02-25,2023-02-27,2023-04-12,44,S004,NorthAm Industrial,USA,WH-West,5559,459,pending
ORD-00023,P002,Steel Bracket,Metal Parts,94,699.97,65797.18,2024-04-04,2024-04-11,2024-04-22,11,S002,PacificParts Ltd.,China,WH-South,4092,497,delivered
ORD-00024,P002,Steel Bracket,Metal Parts,497,237.69,118131.93,2024-10-29,2024-10-30,2024-12-06,37,S004,NorthAm Industrial,USA,WH-Central,3872,135,delivered
ORD-00025,P007,Aluminium Rod,Metal Parts,195,10.38,2024.1,2024-02-15,2024-02-18,2024-02-24,6,S004,NorthAm Industrial,USA,WH-West,6396,185,delivered
ORD-00026,P008,Safety Helmet,Safety,80,478.8,38304.0,2024-07-23,2024-07-31,2024-09-14,45,S003,EuroComponents AG,France,WH-West,3566,79,shipped
ORD-00027,P010,Packing Foam,Packaging,245,1259.61,308604.45,2023-02-28,2023-03-10,2023-03-16,6,S005,AsiaManufact Inc.,Japan,WH-North,8701,130,shipped
ORD-00028,P001,Industrial Pump,Machinery,346,2155.24,745713.04,2023-03-12,2023-03-14,2023-04-24,41,S005,AsiaManufact Inc.,Japan,WH-North,6615,111,pending
ORD-00029,P010,Packing Foam,Packaging,337,1461.26,492444.62,2024-09-26,2024-10-03,2024-10-11,8,S002,PacificParts Ltd.,China,WH-Central,8565,211,shipped
ORD-00030,P005,Conveyor Belt,Machinery,235,793.86,186557.1,2024-02-10,2024-02-15,2024-02-26,11,S002,PacificParts Ltd.,China,WH-East,1188,54,delivered
ORD-00031,P008,Safety Helmet,Safety,260,666.68,173336.8,2023-03-17,2023-03-21,2023-04-27,37,S005,AsiaManufact Inc.,Japan,WH-Central,5718,85,delayed
ORD-00032,P004,Circuit Board,Electronics,414,1636.67,677581.38,2024-07-10,2024-07-20,2024-08-11,22,S003,EuroComponents AG,France,WH-East,128,391,delivered
ORD-00033,P009,Forklift Battery,Energy,456,272.05,124054.8,2023-05-18,2023-05-20,2023-06-08,19,S003,EuroComponents AG,France,WH-North,9064,129,returned
ORD-00034,P005,Conveyor Belt,Machinery,259,1223.89,316987.51,2023-12-18,2023-12-23,2024-01-08,16,S003,EuroComponents AG,France,WH-Central,832,97,delivered
ORD-00035,P007,Aluminium Rod,Metal Parts,83,1854.37,153912.71,2023-05-14,2023-05-19,2023-07-01,43,S003,EuroComponents AG,France,WH-North,9038,411,delivered
ORD-00036,P007,Aluminium Rod,Metal Parts,19,2087.31,39658.89,2024-12-08,2024-12-17,2024-12-29,12,S005,AsiaManufact Inc.,Japan,WH-North,9543,332,delivered
ORD-00037,P003,Hydraulic Valve,Machinery,108,1706.76,184330.08,2024-01-09,2024-01-15,2024-01-20,5,S004,NorthAm Industrial,USA,WH-South,1684,231,delivered
ORD-00038,P009,Forklift Battery,Energy,452,1033.67,467218.84,2023-08-31,2023-09-03,2023-09-16,13,S004,NorthAm Industrial,USA,WH-Central,2938,427,shipped
ORD-00039,P006,Sensor Unit,Electronics,447,101.62,45424.14,2024-12-19,2024-12-26,2025-01-04,9,S004,NorthAm Industrial,USA,WH-South,7711,163,delivered
ORD-00040,P004,Circuit Board,Electronics,338,486.86,164558.68,2023-08-22,2023-08-23,2023-09-09,17,S004,NorthAm Industrial,USA,WH-East,5378,192,delivered
ORD-00041,P002,Steel Bracket,Metal Parts,481,73.86,35526.66,2024-02-14,2024-02-20,2024-03-28,37,S003,EuroComponents AG,France,WH-East,4279,141,shipped
ORD-00042,P010,Packing Foam,Packaging,224,1517.49,339917.76,2024-03-20,2024-03-26,2024-04-20,25,S003,EuroComponents AG,France,WH-North,8379,109,delivered
ORD-00043,P007,Aluminium Rod,Metal Parts,267,2314.31,617920.77,2024-12-26,2024-12-27,2025-01-26,30,S005,AsiaManufact Inc.,Japan,WH-South,8821,401,delivered
ORD-00044,P004,Circuit Board,Electronics,161,1660.15,267284.15,2024-11-11,2024-11-21,2024-12-15,24,S003,EuroComponents AG,France,WH-West,2041,418,delivered
ORD-00045,P005,Conveyor Belt,Machinery,284,322.58,91612.72,2023-12-01,2023-12-06,2024-01-03,28,S005,AsiaManufact Inc.,Japan,WH-East,6888,390,shipped
ORD-00046,P007,Aluminium Rod,Metal Parts,156,720.85,112452.6,2024-02-20,2024-02-21,2024-03-30,38,S002,PacificParts Ltd.,China,WH-Central,7043,452,shipped
ORD-00047,P010,Packing Foam,Packaging,243,1985.37,482444.91,2024-03-28,2024-04-06,2024-04-22,16,S005,AsiaManufact Inc.,Japan,WH-East,2780,387,delivered
ORD-00048,P002,Steel Bracket,Metal Parts,420,2380.24,999700.8,2024-09-26,2024-09-28,2024-10-22,24,S003,EuroComponents AG,France,WH-Central,3848,394,shipped
ORD-00049,P005,Conveyor Belt,Machinery,313,2125.1,665156.3,2023-02-17,2023-02-25,2023-03-15,18,S002,PacificParts Ltd.,China,WH-South,1193,283,delivered
ORD-00050,P007,Aluminium Rod,Metal Parts,125,373.19,46648.75,2024-01-29,2024-02-05,2024-03-10,34,S005,AsiaManufact Inc.,Japan,WH-South,90,434,shipped
ORD-00051,P002,Steel Bracket,Metal Parts,26,1395.73,36288.98,2024-12-13,2024-12-21,2025-01-26,36,S004,NorthAm Industrial,USA,WH-South,1988,283,delivered
ORD-00052,P003,Hydraulic Valve,Machinery,314,2038.44,640070.16,2024-09-01,2024-09-09,2024-10-02,23,S004,NorthAm Industrial,USA,WH-Central,8270,268,delayed
ORD-00053,P009,Forklift Battery,Energy,385,621.86,239416.1,2024-05-01,2024-05-06,2024-06-06,31,S004,NorthAm Industrial,USA,WH-South,4543,442,shipped
ORD-00054,P009,Forklift Battery,Energy,140,842.94,118011.6,2023-03-21,2023-03-25,2023-04-15,21,S004,NorthAm Industrial,USA,WH-South,8849,91,delivered
ORD-00055,P003,Hydraulic Valve,Machinery,213,1021.96,217677.48,2023-06-06,2023-06-08,2023-06-24,16,S002,PacificParts Ltd.,China,WH-South,8890,288,delivered
ORD-00056,P007,Aluminium Rod,Metal Parts,439,2202.24,966783.36,2024-02-03,2024-02-04,2024-03-15,40,S001,TechSupply Co.,Germany,WH-South,9432,244,pending
ORD-00057,P008,Safety Helmet,Safety,383,1837.91,703919.53,2024-02-04,2024-02-13,2024-03-13,29,S001,TechSupply Co.,Germany,WH-East,9883,162,delivered
ORD-00058,P008,Safety Helmet,Safety,343,1699.46,582914.78,2023-01-30,2023-02-05,2023-03-04,27,S002,PacificParts Ltd.,China,WH-East,6624,420,delivered
ORD-00059,P003,Hydraulic Valve,Machinery,304,1413.16,429600.64,2024-06-30,2024-07-07,2024-07-11,4,S004,NorthAm Industrial,USA,WH-South,444,92,delayed
ORD-00060,P007,Aluminium Rod,Metal Parts,109,1139.47,124202.23,2023-09-24,2023-09-30,2023-10-27,27,S002,PacificParts Ltd.,China,WH-West,5529,439,delivered
ORD-00061,P007,Aluminium Rod,Metal Parts,384,1350.85,518726.4,2023-03-25,2023-03-26,2023-04-28,33,S003,EuroComponents AG,France,WH-West,5733,164,delivered
ORD-00062,P002,Steel Bracket,Metal Parts,79,600.17,47413.43,2023-07-24,2023-08-03,2023-08-07,4,S001,TechSupply Co.,Germany,WH-North,7758,392,returned
ORD-00063,P002,Steel Bracket,Metal Parts,311,1520.08,472744.88,2023-09-20,2023-09-23,2023-10-19,26,S005,AsiaManufact Inc.,Japan,WH-South,1876,448,delivered
ORD-00064,P003,Hydraulic Valve,Machinery,204,2353.97,480209.88,2023-11-16,2023-11-23,2024-01-01,39,S003,EuroComponents AG,France,WH-North,3249,88,shipped
ORD-00065,P010,Packing Foam,Packaging,408,2459.69,1003553.52,2023-11-05,2023-11-07,2023-12-18,41,S002,PacificParts Ltd.,China,WH-North,672,227,shipped
ORD-00066,P009,Forklift Battery,Energy,435,1053.05,458076.75,2024-10-25,2024-10-26,2024-11-19,24,S004,NorthAm Industrial,USA,WH-East,8031,104,delivered
ORD-00067,P007,Aluminium Rod,Metal Parts,495,1627.89,805805.55,2024-03-21,2024-03-30,2024-04-13,14,S003,EuroComponents AG,France,WH-West,8817,446,shipped
ORD-00068,P008,Safety Helmet,Safety,437,617.51,269851.87,2024-08-29,2024-09-04,2024-09-24,20,S004,NorthAm Industrial,USA,WH-West,1419,192,pending
ORD-00069,P008,Safety Helmet,Safety,15,1238.29,18574.35,2024-11-15,2024-11-21,2024-12-18,27,S002,PacificParts Ltd.,China,WH-West,5325,143,shipped
ORD-00070,P008,Safety Helmet,Safety,360,2200.87,792313.2,2023-12-15,2023-12-25,2024-01-14,20,S002,PacificParts Ltd.,China,WH-East,9106,55,pending
ORD-00071,P009,Forklift Battery,Energy,389,604.61,235193.29,2024-02-21,2024-03-01,2024-04-04,34,S002,PacificParts Ltd.,China,WH-North,7800,380,delivered
ORD-00072,P008,Safety Helmet,Safety,157,1661.58,260868.06,2023-08-15,2023-08-19,2023-09-16,28,S004,NorthAm Industrial,USA,WH-North,6046,292,delivered
ORD-00073,P009,Forklift Battery,Energy,360,1137.09,409352.4,2024-07-17,2024-07-23,2024-08-16,24,S005,AsiaManufact Inc.,Japan,WH-East,5023,178,delivered
ORD-00074,P004,Circuit Board,Electronics,111,1847.82,205108.02,2024-07-02,2024-07-06,2024-07-20,14,S001,TechSupply Co.,Germany,WH-South,4530,420,delivered
ORD-00075,P010,Packing Foam,Packaging,117,905.4,105931.8,2023-04-13,2023-04-18,2023-05-03,15,S005,AsiaManufact Inc.,Japan,WH-Central,4952,57,delivered
ORD-00076,P009,Forklift Battery,Energy,358,2360.5,845059.0,2023-02-25,2023-03-02,2023-04-09,38,S002,PacificParts Ltd.,China,WH-East,8042,102,delivered
ORD-00077,P001,Industrial Pump,Machinery,495,133.18,65924.1,2024-03-27,2024-03-30,2024-04-23,24,S005,AsiaManufact Inc.,Japan,WH-East,7827,108,delivered
ORD-00078,P002,Steel Bracket,Metal Parts,77,2028.8,156217.6,2024-10-06,2024-10-09,2024-10-15,6,S004,NorthAm Industrial,USA,WH-West,4978,93,delivered
ORD-00079,P004,Circuit Board,Electronics,116,1940.36,225081.76,2024-09-12,2024-09-22,2024-11-02,41,S001,TechSupply Co.,Germany,WH-Central,6232,280,pending
ORD-00080,P008,Safety Helmet,Safety,31,1526.03,47306.93,2023-11-09,2023-11-19,2023-12-28,39,S003,EuroComponents AG,France,WH-Central,1625,440,delayed
ORD-00081,P004,Circuit Board,Electronics,283,192.29,54418.07,2023-06-10,2023-06-13,2023-07-01,18,S002,PacificParts Ltd.,China,WH-East,43,259,shipped
ORD-00082,P008,Safety Helmet,Safety,360,2149.72,773899.2,2023-08-26,2023-08-31,2023-09-21,21,S005,AsiaManufact Inc.,Japan,WH-West,1166,401,delivered
ORD-00083,P004,Circuit Board,Electronics,279,565.9,157886.1,2023-07-22,2023-07-24,2023-08-23,30,S003,EuroComponents AG,France,WH-Central,2441,186,shipped
ORD-00084,P003,Hydraulic Valve,Machinery,472,725.08,342237.76,2023-11-11,2023-11-21,2024-01-01,41,S001,TechSupply Co.,Germany,WH-North,2037,289,delivered
ORD-00085,P005,Conveyor Belt,Machinery,307,104.45,32066.15,2024-05-20,2024-05-22,2024-06-22,31,S004,NorthAm Industrial,USA,WH-East,7078,426,delivered
ORD-00086,P006,Sensor Unit,Electronics,487,56.76,27642.12,2023-08-23,2023-09-02,2023-10-11,39,S005,AsiaManufact Inc.,Japan,WH-East,4415,345,delivered
ORD-00087,P001,Industrial Pump,Machinery,300,1092.53,327759.0,2024-03-28,2024-03-31,2024-04-20,20,S002,PacificParts Ltd.,China,WH-West,8056,96,delivered
ORD-00088,P008,Safety Helmet,Safety,169,1032.05,174416.45,2024-11-17,2024-11-20,2024-11-29,9,S003,EuroComponents AG,France,WH-West,8117,197,delivered
ORD-00089,P007,Aluminium Rod,Metal Parts,60,2425.61,145536.6,2023-11-19,2023-11-25,2023-12-14,19,S005,AsiaManufact Inc.,Japan,WH-North,6622,492,delivered
ORD-00090,P009,Forklift Battery,Energy,186,1558.47,289875.42,2023-02-25,2023-03-06,2023-03-21,15,S001,TechSupply Co.,Germany,WH-Central,8167,370,delivered
ORD-00091,P008,Safety Helmet,Safety,451,1747.13,787955.63,2023-05-15,2023-05-23,2023-06-13,21,S001,TechSupply Co.,Germany,WH-South,1989,64,delivered
ORD-00092,P010,Packing Foam,Packaging,48,565.63,27150.24,2023-01-15,2023-01-22,2023-03-01,38,S002,PacificParts Ltd.,China,WH-South,1858,286,delivered
ORD-00093,P002,Steel Bracket,Metal Parts,213,2087.64,444667.32,2023-10-26,2023-10-31,2023-12-05,35,S002,PacificParts Ltd.,China,WH-West,7736,174,returned
ORD-00094,P008,Safety Helmet,Safety,443,179.18,79376.74,2024-09-05,2024-09-08,2024-10-13,35,S005,AsiaManufact Inc.,Japan,WH-South,6798,224,delivered
ORD-00095,P009,Forklift Battery,Energy,338,1226.65,414607.7,2023-11-02,2023-11-12,2023-12-22,40,S003,EuroComponents AG,France,WH-North,2434,278,delivered
ORD-00096,P009,Forklift Battery,Energy,478,807.83,386142.74,2024-07-10,2024-07-18,2024-08-14,27,S004,NorthAm Industrial,USA,WH-East,3090,407,delivered
ORD-00097,P004,Circuit Board,Electronics,382,1185.08,452700.56,2024-02-25,2024-03-02,2024-03-07,5,S005,AsiaManufact Inc.,Japan,WH-West,6246,247,delivered
ORD-00098,P003,Hydraulic Valve,Machinery,448,2113.37,946789.76,2024-08-27,2024-08-29,2024-09-22,24,S004,NorthAm Industrial,USA,WH-North,1633,319,delivered
ORD-00099,P008,Safety Helmet,Safety,241,1954.91,471133.31,2024-11-01,2024-11-03,2024-11-15,12,S001,TechSupply Co.,Germany,WH-South,4342,223,delivered
ORD-00100,P010,Packing Foam,Packaging,489,795.07,388789.23,2024-11-21,2024-11-28,2025-01-04,37,S004,NorthAm Industrial,USA,WH-North,7994,496,pending
ORD-00101,P009,Forklift Battery,Energy,383,230.5,88281.5,2024-10-08,2024-10-12,2024-11-02,21,S001,TechSupply Co.,Germany,WH-Central,1612,439,delivered
ORD-00102,P002,Steel Bracket,Metal Parts,408,145.02,59168.16,2023-01-30,2023-02-05,2023-02-10,5,S004,NorthAm Industrial,USA,WH-South,5873,241,shipped
ORD-00103,P007,Aluminium Rod,Metal Parts,90,202.03,18182.7,2024-08-02,2024-08-05,2024-08-19,14,S002,PacificParts Ltd.,China,WH-South,6267,367,delivered
ORD-00104,P004,Circuit Board,Electronics,236,642.04,151521.44,2024-04-17,2024-04-22,2024-06-04,43,S004,NorthAm Industrial,USA,WH-Central,153,461,delivered
ORD-00105,P008,Safety Helmet,Safety,154,1599.15,246269.1,2024-03-28,2024-04-07,2024-05-02,25,S003,EuroComponents AG,France,WH-Central,6951,403,delivered
ORD-00106,P005,Conveyor Belt,Machinery,122,956.5,116693.0,2024-01-29,2024-01-31,2024-03-04,33,S004,NorthAm Industrial,USA,WH-East,5881,344,delivered
ORD-00107,P005,Conveyor Belt,Machinery,5,1416.99,7084.95,2024-11-05,2024-11-10,2024-12-08,28,S003,EuroComponents AG,France,WH-North,803,360,delayed
ORD-00108,P008,Safety Helmet,Safety,318,630.31,200438.58,2023-12-27,2023-12-31,2024-01-17,17,S003,EuroComponents AG,France,WH-South,2240,371,shipped
ORD-00109,P002,Steel Bracket,Metal Parts,375,332.87,124826.25,2023-02-04,2023-02-10,2023-03-22,40,S001,TechSupply Co.,Germany,WH-East,4835,217,pending
ORD-00110,P007,Aluminium Rod,Metal Parts,257,2284.15,587026.55,2024-07-06,2024-07-15,2024-08-10,26,S002,PacificParts Ltd.,China,WH-South,2695,181,delivered
ORD-00111,P008,Safety Helmet,Safety,387,2416.42,935154.54,2024-04-24,2024-04-27,2024-05-04,7,S003,EuroComponents AG,France,WH-East,6511,483,pending
ORD-00112,P009,Forklift Battery,Energy,64,1139.69,72940.16,2023-01-15,2023-01-24,2023-02-12,19,S003,EuroComponents AG,France,WH-North,4295,349,pending
ORD-00113,P007,Aluminium Rod,Metal Parts,453,2358.21,1068269.13,2024-04-27,2024-05-07,2024-05-11,4,S003,EuroComponents AG,France,WH-North,5374,362,shipped
ORD-00114,P004,Circuit Board,Electronics,60,353.74,21224.4,2023-11-06,2023-11-13,2023-12-27,44,S001,TechSupply Co.,Germany,WH-West,609,205,returned
ORD-00115,P008,Safety Helmet,Safety,233,930.67,216846.11,2024-07-04,2024-07-11,2024-07-22,11,S001,TechSupply Co.,Germany,WH-North,8850,264,delivered
ORD-00116,P010,Packing Foam,Packaging,481,2379.05,1144323.05,2024-05-16,2024-05-23,2024-07-04,42,S002,PacificParts Ltd.,China,WH-West,536,403,shipped
ORD-00117,P006,Sensor Unit,Electronics,352,921.5,324368.0,2023-08-30,2023-09-01,2023-09-27,26,S002,PacificParts Ltd.,China,WH-West,5876,81,delivered
ORD-00118,P007,Aluminium Rod,Metal Parts,329,1600.53,526574.37,2024-04-10,2024-04-14,2024-04-22,8,S003,EuroComponents AG,France,WH-South,349,75,delayed
ORD-00119,P006,Sensor Unit,Electronics,107,1468.03,157079.21,2023-07-30,2023-08-08,2023-08-15,7,S002,PacificParts Ltd.,China,WH-South,3817,218,pending
ORD-00120,P003,Hydraulic Valve,Machinery,129,1997.29,257650.41,2023-05-29,2023-06-07,2023-06-18,11,S005,AsiaManufact Inc.,Japan,WH-North,1801,388,delivered
ORD-00121,P001,Industrial Pump,Machinery,9,439.74,3957.66,2023-09-01,2023-09-07,2023-10-17,40,S002,PacificParts Ltd.,China,WH-North,858,114,delivered
ORD-00122,P007,Aluminium Rod,Metal Parts,263,1486.2,390870.6,2024-05-02,2024-05-08,2024-06-08,31,S005,AsiaManufact Inc.,Japan,WH-North,7405,307,shipped
ORD-00123,P004,Circuit Board,Electronics,235,1610.14,378382.9,2024-11-05,2024-11-10,2024-12-16,36,S005,AsiaManufact Inc.,Japan,WH-North,510,81,shipped
ORD-00124,P008,Safety Helmet,Safety,461,206.57,95228.77,2024-05-17,2024-05-19,2024-06-19,31,S004,NorthAm Industrial,USA,WH-West,9966,125,shipped
ORD-00125,P002,Steel Bracket,Metal Parts,196,2486.6,487373.6,2024-08-22,2024-08-28,2024-10-05,38,S002,PacificParts Ltd.,China,WH-East,8692,200,shipped
ORD-00126,P008,Safety Helmet,Safety,370,2164.4,800828.0,2024-12-19,2024-12-28,2025-01-07,10,S005,AsiaManufact Inc.,Japan,WH-Central,7046,281,delivered
ORD-00127,P004,Circuit Board,Electronics,161,1069.78,172234.58,2024-02-13,2024-02-15,2024-03-15,29,S004,NorthAm Industrial,USA,WH-East,4176,241,pending
ORD-00128,P003,Hydraulic Valve,Machinery,50,1862.75,93137.5,2023-03-29,2023-04-05,2023-04-13,8,S004,NorthAm Industrial,USA,WH-North,6105,465,delivered
ORD-00129,P003,Hydraulic Valve,Machinery,344,309.97,106629.68,2024-07-29,2024-08-04,2024-09-11,38,S005,AsiaManufact Inc.,Japan,WH-North,5793,497,shipped
ORD-00130,P007,Aluminium Rod,Metal Parts,260,535.78,139302.8,2023-12-27,2024-01-06,2024-01-15,9,S001,TechSupply Co.,Germany,WH-East,7900,164,shipped
ORD-00131,P002,Steel Bracket,Metal Parts,414,1075.64,445314.96,2023-10-13,2023-10-17,2023-11-25,39,S003,EuroComponents AG,France,WH-Central,9190,442,delivered
ORD-00132,P010,Packing Foam,Packaging,93,686.81,63873.33,2024-11-04,2024-11-05,2024-11-25,20,S005,AsiaManufact Inc.,Japan,WH-Central,5062,223,delivered
ORD-00133,P006,Sensor Unit,Electronics,36,358.98,12923.28,2024-08-02,2024-08-09,2024-09-23,45,S001,TechSupply Co.,Germany,WH-South,502,96,pending
ORD-00134,P009,Forklift Battery,Energy,160,1805.38,288860.8,2023-12-16,2023-12-22,2024-01-04,13,S002,PacificParts Ltd.,China,WH-West,9299,355,delivered
ORD-00135,P002,Steel Bracket,Metal Parts,140,1110.57,155479.8,2024-09-24,2024-09-26,2024-10-02,6,S001,TechSupply Co.,Germany,WH-South,6947,298,delivered
ORD-00136,P010,Packing Foam,Packaging,221,281.67,62249.07,2024-06-08,2024-06-14,2024-06-24,10,S004,NorthAm Industrial,USA,WH-West,9717,299,delivered
ORD-00137,P009,Forklift Battery,Energy,105,757.04,79489.2,2024-09-05,2024-09-06,2024-09-12,6,S003,EuroComponents AG,France,WH-North,3460,442,delivered
ORD-00138,P003,Hydraulic Valve,Machinery,90,327.32,29458.8,2023-01-08,2023-01-15,2023-02-18,34,S003,EuroComponents AG,France,WH-East,8725,410,delivered
ORD-00139,P004,Circuit Board,Electronics,442,1856.39,820524.38,2023-12-29,2024-01-05,2024-01-12,7,S005,AsiaManufact Inc.,Japan,WH-Central,7147,59,pending
ORD-00140,P008,Safety Helmet,Safety,149,292.36,43561.64,2024-08-10,2024-08-17,2024-09-14,28,S001,TechSupply Co.,Germany,WH-East,341,216,shipped
ORD-00141,P003,Hydraulic Valve,Machinery,433,269.13,116533.29,2024-01-06,2024-01-13,2024-01-21,8,S005,AsiaManufact Inc.,Japan,WH-West,7138,351,pending
ORD-00142,P007,Aluminium Rod,Metal Parts,171,1948.9,333261.9,2023-11-14,2023-11-18,2023-12-12,24,S005,AsiaManufact Inc.,Japan,WH-North,1251,311,delivered
ORD-00143,P002,Steel Bracket,Metal Parts,121,261.5,31641.5,2023-12-24,2023-12-27,2024-01-21,25,S005,AsiaManufact Inc.,Japan,WH-Central,4193,151,delivered
ORD-00144,P003,Hydraulic Valve,Machinery,488,1933.26,943430.88,2024-11-02,2024-11-05,2024-11-12,7,S005,AsiaManufact Inc.,Japan,WH-South,8095,287,pending
ORD-00145,P010,Packing Foam,Packaging,166,2161.3,358775.8,2024-08-01,2024-08-11,2024-09-24,44,S005,AsiaManufact Inc.,Japan,WH-West,5179,127,shipped
ORD-00146,P008,Safety Helmet,Safety,29,883.1,25609.9,2023-11-07,2023-11-17,2023-12-07,20,S001,TechSupply Co.,Germany,WH-West,1215,208,delivered
ORD-00147,P008,Safety Helmet,Safety,315,1487.23,468477.45,2023-10-21,2023-10-23,2023-10-30,7,S004,NorthAm Industrial,USA,WH-North,6299,286,delivered
ORD-00148,P010,Packing Foam,Packaging,165,1514.49,249890.85,2024-08-08,2024-08-12,2024-09-25,44,S005,AsiaManufact Inc.,Japan,WH-North,8214,127,delivered
ORD-00149,P001,Industrial Pump,Machinery,331,435.53,144160.43,2023-12-18,2023-12-27,2024-01-04,8,S004,NorthAm Industrial,USA,WH-North,4059,412,pending
ORD-00150,P008,Safety Helmet,Safety,470,710.82,334085.4,2023-06-12,2023-06-18,2023-07-14,26,S004,NorthAm Industrial,USA,WH-Central,6697,446,delivered
ORD-00151,P006,Sensor Unit,Electronics,169,240.79,40693.51,2024-10-24,2024-10-26,2024-11-19,24,S005,AsiaManufact Inc.,Japan,WH-North,6333,195,pending
ORD-00152,P005,Conveyor Belt,Machinery,470,877.8,412566.0,2024-08-19,2024-08-22,2024-10-06,45,S005,AsiaManufact Inc.,Japan,WH-South,6421,116,delivered
ORD-00153,P010,Packing Foam,Packaging,344,1758.56,604944.64,2024-10-20,2024-10-23,2024-11-16,24,S001,TechSupply Co.,Germany,WH-East,8624,97,shipped
ORD-00154,P007,Aluminium Rod,Metal Parts,175,2369.43,414650.25,2023-11-13,2023-11-17,2023-12-01,14,S005,AsiaManufact Inc.,Japan,WH-East,7967,148,delivered
ORD-00155,P004,Circuit Board,Electronics,428,1847.92,790909.76,2023-04-14,2023-04-23,2023-05-28,35,S002,PacificParts Ltd.,China,WH-South,8626,69,delivered
ORD-00156,P006,Sensor Unit,Electronics,426,1733.65,738534.9,2023-06-07,2023-06-10,2023-06-23,13,S005,AsiaManufact Inc.,Japan,WH-South,2712,419,shipped
